         6635632 function calls (6514417 primitive calls) in 3.707 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   302438    0.501    0.000    0.788    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:107(bitvector_rank)
  1160578    0.349    0.000    0.454    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:173(safe_string_idx)
237048/116043    0.239    0.000    0.427    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:131(smaller)
    55010    0.224    0.000    0.537    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree_lvl.py:119(rank)
   215921    0.184    0.000    0.435    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:184(get_triplet)
  1696277    0.167    0.000    0.167    0.000 {built-in method builtins.len}
       80    0.143    0.002    0.171    0.002 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:132(split_node)
       30    0.134    0.004    0.605    0.020 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:101(merge)
   110020    0.112    0.000    0.247    0.000 C:\Users\qeast\Anaconda3\lib\random.py:174(randrange)
       10    0.112    0.011    0.134    0.013 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\bwt_search.py:115(construct_occ)
       30    0.109    0.004    0.109    0.004 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:243(<listcomp>)
    55010    0.109    0.000    0.438    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\wavelet_tree.py:16(rank)
   302528    0.106    0.000    0.106    0.000 {built-in method math.floor}
   368920    0.102    0.000    0.102    0.000 {method 'count' of 'bitarray.bitarray' objects}
  1032145    0.094    0.000    0.094    0.000 {method 'append' of 'list' objects}
       40    0.094    0.002    1.263    0.032 G:/My Drive/Bioinformatik/2022/SPECIALE/Speciale/time_comparison.py:25(query_times)
   110020    0.093    0.000    0.134    0.000 C:\Users\qeast\Anaconda3\lib\random.py:224(_randbelow)
       30    0.077    0.003    0.369    0.012 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:58(compute_sa_12)
       10    0.065    0.007    0.319    0.032 G:/My Drive/Bioinformatik/2022/SPECIALE/Speciale/time_comparison.py:14(generate_queries)
       10    0.062    0.006    0.062    0.006 {built-in method io.open}
   302528    0.057    0.000    0.057    0.000 {built-in method math.log2}
       90    0.056    0.001    0.112    0.001 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:213(bucket_sort_triplet)
       10    0.041    0.004    0.041    0.004 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:155(bwt)
       30    0.039    0.001    0.193    0.006 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:192(get_triplet_alphabet)
       20    0.038    0.002    0.166    0.008 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:79(construct_u)
       80    0.036    0.000    0.052    0.001 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:94(preprocess_node_word_ranks)
    55010    0.031    0.000    0.177    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\one_hot_encoding.py:76(rank)
   154005    0.030    0.000    0.030    0.000 {method 'getrandbits' of '_random.Random' objects}
       10    0.025    0.002    0.033    0.003 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\one_hot_encoding.py:51(preprocess_ranks)
   246928    0.023    0.000    0.023    0.000 {method 'append' of 'bitarray.bitarray' objects}
       90    0.023    0.000    0.023    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:220(<listcomp>)
       20    0.020    0.001    0.023    0.001 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\shared.py:60(letter_count)
    61113    0.017    0.000    0.017    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\skew.py:94(map_u_to_string_index)
    55010    0.017    0.000    0.017    0.000 G:\My Drive\Bioinformatik\2022\SPECIALE\Speciale\bwt_search.py:123(rank)
